run_id,task,probe,group,job_type,key,code_sha,git_sha,stage,created
bend_window_sweep_k5_el2_b10_seeds16_c54d90a6,bend_window,sweep,bend_window,sweep,k5_el2_b10_seeds16,c54d90a6,,,2026-07-04T02:28:16+00:00
beta_opt_sweep_b10_el6_c3_seeds16_60596297,beta_opt,sweep,beta_opt,sweep,b10_el6_c3_seeds16,60596297,,,2026-07-04T02:31:35+00:00
cl2_grid_sweep_el8_b5_seeds8_ff290968,cl2_grid,sweep,cl2_grid,sweep,el8_b5_seeds8,ff290968,,,2026-07-04T02:28:11+00:00
curved_valley_trajectory_a2_k0p9_eta0p18_T300_aa4bcad3,curved_valley,trajectory,curved_valley,trajectory,a2_k0p9_eta0p18_T300,aa4bcad3,,,2026-07-04T02:27:41+00:00
forced_controls_sweep_om4_b7_seeds12_da578cc6,forced_controls,sweep,forced_controls,sweep,om4_b7_seeds12,da578cc6,,,2026-07-04T04:48:33+00:00
frequency_validation_spectral_T512_hann_2e8a73ae,frequency_validation,spectral,frequency_validation,spectral,T512_hann,2e8a73ae,,,2026-07-04T02:27:42+00:00
matrix_muon_pipeline_m24n18r3_T400_e2cdb461,matrix_muon,pipeline,matrix_muon,pipeline,m24n18r3_T400,e2cdb461,,,2026-07-04T02:27:44+00:00
mlp_diagnostic_trajectory_cond120_eta0p3_T600_de970d69,mlp_diagnostic,trajectory,mlp_diagnostic,trajectory,cond120_eta0p3_T600,de970d69,,,2026-07-04T02:27:44+00:00
nanogpt_closedloop_lr4_b6_seeds3_T2000_c8c5ccf4,nanogpt,closedloop,nanogpt,closedloop,lr4_b6_seeds3_T2000,c8c5ccf4,,,2026-07-04T03:10:45+00:00
nanogpt_decomp_lr3_seeds3_LB1024_k16_4f72b186,nanogpt,decomp,nanogpt,decomp,lr3_seeds3_LB1024_k16,4f72b186,,,2026-07-04T04:57:29+00:00
nanogpt-gpu_preflight_ladder5_T384_5dd41c92,nanogpt-gpu,preflight,nanogpt-gpu,preflight,ladder5_T384,5dd41c92,aca54008,explore,2026-07-19T11:56:47+00:00
nanogpt-gpu_smoke_T40_1gpu_ccfc7d63,nanogpt-gpu,smoke,nanogpt-gpu,smoke,T40_1gpu,ccfc7d63,bb61cb35,explore,2026-07-19T11:46:04+00:00
nanogpt-gpu_smoke_T40_1gpu_87f73230,nanogpt-gpu,smoke,nanogpt-gpu,smoke,T40_1gpu,87f73230,87f73230,explore,2026-07-19T12:00:36+00:00
nanogpt-gpu_smoke_T40_1gpu_e0efac6b,nanogpt-gpu,smoke,nanogpt-gpu,smoke,T40_1gpu,e0efac6b,87f73230,explore,2026-07-19T12:04:01+00:00
